gene_symbol,haploinsufficiency_score,triplosensitivity_score
ASPM,0,0
ASTN2,1,0
ASXL1,3,0
ASXL2,0,0
ASXL3,3,0
ATCAY,0,-1
ATF6,0,0
ATM,3,0
ATP2A1,0,0
ATP2A2,3,0
ATP2C2,0,0
ATP6AP2,0,0
ATP6V1E1,0,0
ATP6V0A2,0,0
ATP6V0A4,0,-1
ATP7A,3,0
ATP7B,0,0
ATP8A2,0,0
ATP10A,0,0
ATP13A2,0,0
ATPAF2,0,0
ATR,1,0
ATRX,3,0
AUTS2,3,0
AVPR2,3,0
AXIN2,3,0
B3GALNT2,0,-1
B3GALT6,0,0
B4GALT1,0,0
B4GALT7,0,0
B9D1,0,0
BAG3,3,0
BAP1,3,0
BARD1,3,0
BAZ2B,1,0
BBS5,0,0
BBS7,0,-1
BBS12,0,0
BCAP31,3,0
BCHE,0,-1
BCKDHB,0,0
BCKDK,0,-1
BCL2L11,0,0
BCL11A,3,0
BCLAF1,1,0
BCOR,3,0
BCR,0,0
BCS1L,0,0
BIN1,0,-1
BLM,0,0
BLNK,0,0
BMP4,3,0
BMPER,0,-1
BMPR1A,3,0
BMPR2,3,0
BPHL,0,0
BPNT2,0,-1
BPTF,3,0
BPY2,0,0
BRAF,0,0
BRAT1,0,0
BRCA1,3,0
BRCA2,3,0
BRIP1,3,0
BRPF1,3,0
BRSK2,3,0
BRWD3,3,0
BSND,0,0
BTD,0,0
BTK,3,0
BUB1B,0,0
C1QB,0,0
CFAP418,0,0
C19orf12,0,0
CA5A,0,0
CA8,0,0
CA12,0,-1
CABP2,0,0
CABP4,0,0
CACNA1A,3,0
CACNA1C,1,0
CACNA1E,1,0
CACNA1S,0,0
CADPS2,0,0
CALM1,0,0
CALM2,0,0
CALM3,0,0
CAMK2A,1,0
CAMK2B,1,0
CAMTA1,3,0
CANT1,0,-1
CAPN3,0,0
CAPRIN1,1,0
CARD14,0,0
CASK,3,0
CASP10,1,0
CASQ2,0,-1
CASR,0,0
CASZ1,1,0
CATSPER2,0,0
CBFB,0,0
CBL,0,0
CBS,0,0
CBY2,0,0
CC2D2A,0,0
CCBE1,0,-1
CCDC8,0,0
CCDC39,0,0
CCDC40,0,-1
DNAAF19,0,-1
CCN6,0,-1
CCNQ,1,0
CCT5,0,0
CD3D,0,-1
CD3E,0,0
CD3G,0,-1
CD8A,0,0
CD19,0,-1
CD27,0,-1
CD36,0,-1
CD40LG,3,0
CD59,0,-1
CDAN1,0,0
CDC42BPB,1,0
CDC73,3,0
CDH1,3,0
CDH15,0,0
CDH23,0,-1
CDHR1,0,-1
CDIN1,0,-1
CDK4,0,0
CDK5RAP2,0,-1
CDK6,0,-1
CDK13,3,0
CDKL5,3,0
CDKN1B,3,0
CDKN1C,3,0
CDKN2A,3,0
CDT1,0,-1
CDY1,0,0
CEBPA,0,0
CEBPE,0,-1
CELF4,1,0
CPAP,0,-1
CENPP,0,0
CEP78,0,0
CEP164,0,0
CEP290,0,0
CERS3,0,-1
CERT1,0,0
CFAP53,0,0
CFC1,0,0
CFD,0,0
CFL2,0,-1
CFTR,0,-1
CHAMP1,1,0
CHAT,0,-1
CHD1L,0,0
CHD2,3,0
CHD4,1,0
CHD5,1,0
CHD7,3,0
CHD8,3,0
CHEK1,0,0
CHEK2,3,0
CHKB,0,0
CHL1,0,0
CHM,3,0
CHMP1A,0,0
CHMP7,0,0
CHRDL1,3,0
CHRM3,0,0
CHRNA4,0,0
CHRNA7,0,0
CHST6,0,0
CHSY1,0,0
CIC,3,0
CIDEC,0,0
CITED2,0,0
CLASP1,0,0
CLCF1,0,-1
CLCN4,1,0
CLCN5,3,0
CLCNKA,0,0
CLCNKB,0,0
CLDN14,0,0
CLMP,0,0
CLN3,0,-1
CLN8,0,-1
CLNK,0,0
CLPP,0,0
CLRN1,0,0
CLTC,3,0
CNGB1,0,-1
CNKSR2,3,0
CNNM4,0,-1
CNOT1,3,0
CNOT2,1,0
CNOT3,0,0
CNTN1,0,-1
CNTN2,0,0
CNTN4,0,0
CNTN6,0,0
CNTNAP2,1,0
CNTNAP5,1,0
COG1,0,-1
COG4,0,-1
COG7,0,0
COG8,0,0
COL1A1,3,0
COL1A2,0,0
COL2A1,3,0
COL3A1,3,0
COL4A3,0,0
COL4A5,3,0
COL5A1,3,0
COL5A2,0,0
COL6A5,0,0
COL7A1,0,-1
COL9A1,0,0
COL9A2,0,0
COL11A1,1,0
COL16A1,0,0
COLEC11,0,0
COLQ,0,0
COMP,0,0
COQ2,0,0
CORO1A,0,0
COX6B1,0,0
COX10,0,-1
COX14,0,0
COX15,0,0
COX20,0,-1
CP,0,-1
CPA4,0,0
CPA6,0,0
CPLANE1,0,0
CPN1,0,0
CPS1,0,-1
CPT1A,0,0
CRADD,0,0
CREBBP,3,0
CRHR1,0,0
CRIPT,0,0
CRKL,1,0
CRPPA,0,-1
CRTAP,0,0
CRYBA1,0,0
CRYBB2,0,0
CRYGC,0,0
CSF2RA,0,0
CSF2RB,0,-1
CSMD1,1,0
CSNK2A1,1,0
CSPP1,0,0
CSTB,0,0
CTC1,0,0
CTCF,3,0
CTDP1,0,-1
CTH,0,0
CTNNA1,3,0
CTNNA3,0,0
CTNNB1,3,0
CTNND2,1,0
CTNS,0,0
CTSB,0,0
CUBN,0,0
CUL3,3,0
CUL4B,3,0
CYB5A,0,0
CYBB,3,0
CYLD,3,0
CYP3A43,0,0
CYP4F22,0,-1
CYP4V2,0,-1
CYP21A2,0,0
CYP24A1,0,-1
CYP27A1,0,-1
D2HGDH,0,-1
DARS2,0,0
DAZ1,0,0
DBH,0,0
DBT,0,0
DCHS1,1,0
DCLRE1C,0,0
DCX,3,0
DCXR,0,0
DDB2,0,0
DDHD1,0,0
DDOST,0,0
DDX3X,3,0
DDX41,3,0
DEPDC5,3,0
DGKE,0,0
DGUOK,0,-1
DHCR7,0,0
DHODH,0,0
DHX57,0,0
DICER1,3,0
DIP2A,1,0
DIRAS3,0,0
DIS3L2,1,0
DISC1,0,0
DISP1,0,0
DKC1,1,0
DLG2,1,0
DLG3,3,0
DLG4,3,0
DLGAP2,0,0
DLK1,0,0
DLL1,3,0
DLX1,0,0
DLX2,0,0
DLX5,0,0
DLX6,0,0
DMD,3,0
DMP1,0,-1
DMRT1,1,0
DMRT2,0,0
DMXL2,0,0
DNAAF1,0,0
DNAH5,0,0
DNAH11,0,0
DNAI1,0,0
DNAI2,0,0
DNAJB6,0,0
DNAJC6,0,0
DNAJC21,1,0
DNAJC28,0,0
DNASE1,0,0
DNM1,0,0
DNM2,0,0
DNMT3A,3,0
DOCK7,0,0
DOCK8,0,0
DOK7,0,-1
DPAGT1,0,0
DPM1,0,0
DPM3,0,0
DPP6,1,0
DPYD,0,0
DPYS,0,-1
DRD5,0,0
DSC2,1,0
DSC3,0,-1
DSCAM,1,0
DSE,0,-1
DSG2,1,0
DSG4,0,0
DSP,3,0
DSPP,0,0
DYM,0,0
DYNC1H1,0,0
DYNC2H1,0,-1
DYNC2I1,0,-1
DYRK1A,3,0
EARS2,0,0
EBF3,3,0
EBP,3,0
EDA,3,0
EDNRB,1,0
EEF1A2,0,0
EFCAB13,0,0
EFL1,0,-1
EFNB1,3,1
EFTUD2,3,0
EGFR,0,0
EGR2,0,0
EHMT1,3,1
EIF2AK3,0,-1
EIF2B1,0,-1
EIF2B3,0,0
EIF4A3,0,0
ELANE,1,0
ELAVL2,1,0
ELK1,0,0
ELN,3,0
ELOA3P,0,0
EMX2,1,0
EN2,0,0
ENG,3,0
ENO3,0,-1
ENPP1,0,0
EP300,3,0
EPB42,0,0
EPCAM,0,0
EPM2A,0,0
EPS8,0,0
ERBB4,1,0
ERCC1,0,-1
ERCC2,0,0
ERCC3,0,0
ERCC4,0,0
ERCC5,0,0
ERCC6L2,0,0
ERCC8,0,0
ERF,3,0
ERMARD,1,0
ESCO2,0,-1
ESPN,0,0
ETFB,0,0
ETFDH,0,-1
ETV6,3,0
EVC2,0,0
EVX2,0,0
EXO5,0,0
EXOSC3,0,0
EXPH5,0,0
EXT1,3,0
EXT2,3,0
EYA1,3,0
EYA4,3,0
EYS,0,-1
F5,0,0
F7,0,-1
F8,3,0
F9,3,0
F10,0,-1
F13A1,0,0
F13B,0,0
FA2H,0,-1
FADD,0,0
FAH,0,0
FAM20C,0,-1
FAM161A,0,0
FAN1,0,0
FANCA,0,0
FANCB,3,0
FANCC,0,0
FANCD2,0,0
FANCE,0,0
FANCF,0,0
FANCG,0,0
FANCI,0,-1
FANCL,0,0
FANCM,0,0
FARS2,0,0
FAS,1,0
FASLG,0,0
FBN1,3,0
FBN2,0,0
FBP1,0,0
FBXO7,0,-1
FBXW4,0,0
FBXW11,0,1
FGD1,3,0
FGD4,0,0
FGF3,0,-1
FGF10,3,0
FGF12,0,1
FGFR1,3,0
FGFR3,0,0
FGFRL1,0,0
FH,3,0
FHIT,0,0
FKBP14,0,0
FLCN,3,0
FLG,3,0
FLNA,3,0
FLNB,0,0
FLNC,3,0
FLVCR2,0,0
FMO2,0,0
FMR1,3,0
FOLR1,0,0
FOSL2,0,0
FOXC1,3,0
FOXC2,3,0
FOXE1,0,-1
FOXE3,0,0
FOXF1,3,0
FOXG1,3,0
FOXI3,0,0
FOXL2,3,0
FOXP1,3,0
FOXP2,3,0
FOXRED1,0,0
FREM1,0,0
FRMD7,3,0
FSHB,0,-1
FTCD,0,0
FTL,0,0
FTSJ1,1,0
FXN,0,0
FYCO1,0,0
FZD4,3,0
G6PC3,0,0
GAA,0,-1
GAB4,0,0
GABRA1,1,0
GABRB3,0,0
GABRG2,1,0
GALC,0,-1
GALK1,0,0
GALNS,0,0
GALNT3,0,0
GALNT12,1,0
GALR1,0,0
GALT,0,-1
GAMT,0,0
GAN,0,-1
GANAB,3,0
GATA1,0,0
GATA2,3,0
GATA3,3,0
GATA4,3,0
GATA6,3,0
GATAD1,0,-1
GATAD2B,3,0
GBA1,0,0
GBA2,0,-1
GBE1,0,0
GCDH,0,-1
GCH1,3,0
GCK,3,0
GCSH,0,-1
GDF2,0,0
GDF5,3,0
GDI1,1,0
GEN1,0,0
GFER,0,0
GFI1,0,0
GFI1B,0,0
GFM1,0,0
GIGYF2,1,0
GIPC3,0,0
GJA1,0,0
GJA5,1,0
GJA8,0,0
GJB2,0,0
GJB6,0,0
GK,3,0
GLA,3,0
GLB1,0,0
GLDC,0,0
GLI2,3,0
GLI3,3,0
GLIS3,0,0
GLMN,3,0
GLRB,0,0
GLUL,0,0
GMPPA,0,0
GNAI1,0,0
GNAI3,0,0
GNAO1,1,0
GNAS,3,0
GNB1,1,0
GNB4,0,0
GNPAT,0,-1
GNRH1,0,0
GNS,0,-1
GOLGA2P2Y,0,0
GORAB,0,0
GP1BB,0,-1
GP6,0,0
GPC3,3,0
GPC5,0,0
GPC6,0,0
GPD1,0,0
GPHN,1,0
GPIHBP1,0,-1
GPR148,0,0
GPR179,0,0
GPSM2,0,0
GPX4,0,0
GRB10,0,0
GREM1,0,0
GRHPR,0,0
GRIA3,1,0
GRID1,0,0
GRIK2,0,0
GRIN2A,3,0
GRIN2B,3,0
GRIN3B,0,0
GRIP1,0,0
GRM1,0,-1
GRM6,0,0
GRXCR1,0,0
GSDMD,0,0
GTF2H5,0,0
GTF2I,0,0
GTF2IRD1,0,0
GTF2IRD2,0,0
GUCA1C,0,0
GUCY2C,0,0
GUSB,0,0
GYS2,0,0
H1-4,0,0
H6PD,0,0
H19,0,0
HBA1,0,0
HBA2,0,0
HCCS,3,0
HDAC4,1,0
HDAC8,3,0
HEXB,0,-1
HFE,0,0
HFM1,0,0
HGF,0,-1
HGSNAT,0,-1
HIRA,0,0
HIVEP2,3,0
HIVEP3,1,0
HJV,0,-1
HLCS,0,0
HMBS,3,0
HMGA2,1,0
HNF1A,3,0
HNF1B,3,0
HNF4A,3,0
HNRNPC,1,0
HNRNPDL,0,0
HNRNPK,3,0
HNRNPU,3,0
HOMER2,0,0
HOXD9,0,0
HOXD13,3,0
HPGD,0,0
HPRT1,3,0
HPS1,0,-1
HPS3,0,-1
HPSE2,0,0
HRAS,0,0
HSD3B7,0,0
HSD17B3,0,-1
HSD17B4,0,0
HSD17B10,0,0
HSD17B13,0,0
HSPB8,0,0
HSPG2,0,0
HTN3,0,0
HUWE1,0,0
HYLS1,0,-1
HYMAI,0,0
IDS,3,0
IDUA,0,-1
IFT27,0,0
IFT43,0,-1
IFT140,0,-1
IGF1R,3,0
IGF2,0,0
IGF2R,0,0
IGHMBP2,0,0
IGLL1,0,0
IKBKG,3,0
IKZF1,3,0
IL1RAPL1,3,0
IL2RA,0,-1
IL10RA,0,0
IL17RA,0,-1
IL21R,0,0
IMMP2L,0,0
IMPA1,0,0
INF2,0,0
INPP5E,0,0
INS,0,0
IQSEC2,3,0
IRAK4,0,0
IRF2BPL,1,0
IRF6,3,0
ITCH,0,-1
ITGA3,0,0
ITGB2,0,-1
ITGB3,0,0
ITK,0,0
ITPR1,1,0
ITSN1,1,0
IYD,0,0
JAG1,3,0
JAM3,0,0
JARID2,1,0
KANK1,0,0
KANSL1,3,0
KARS1,0,0
KAT6A,3,0
KAT6B,3,0
KATNAL2,1,0
KCNA2,1,0
KCNB1,0,0
KCNC1,1,0
KCNH1,0,0
KCNH2,3,0
KCNJ1,0,0
KCNJ6,0,0
KCNK9,0,0
KCNQ1,3,0
KCNQ1OT1,1,0
KCNQ2,3,0
KCNV2,0,-1
KCTD7,0,-1
KDM5B,0,0
KDM5C,3,0
KDM6A,3,0
KDM6B,3,0
KERA,0,-1
KHDC3L,0,-1
KIF1A,0,0
KIF1C,0,0
KIF7,0,0
KIF11,3,0
KIFBP,0,-1
KISS1,0,-1
KIT,3,0
KLF8,0,0
KLF14,0,0
KLK12,0,0
KMT2A,3,0
KMT2B,3,0
KMT2C,3,0
KMT2D,3,0
KMT2E,3,0
KMT5B,3,0
KRAS,0,0
KRT24,0,0
KRT37,0,0
L1CAM,3,0
L3MBTL1,0,0
LAMA1,0,0
LAMA2,0,0
LAMA3,0,-1
LAMC2,0,-1
LAMP2,3,0
LARGE1,0,0
LBR,0,0
LBX1,0,0
LCA5,0,-1
LCT,0,0
LDLR,3,0
LEMD3,3,0
LEO1,1,0
LEPR,0,-1
LETM1,0,0
LFNG,0,-1
LGI1,3,0
LHX3,0,-1
LHX4,1,0
LIG4,0,0
LIMK1,0,0
LINS1,0,0
LIPA,0,-1
LITAF,0,0
LMAN1,0,-1
LMBR1,0,0
LMNA,3,0
LMNB1,0,3
LMTK3,1,0
LMX1B,3,0
LOXHD1,0,0
LPAR6,0,-1
LPIN2,0,0
LRAT,0,-1
LRBA,0,-1
LRP2,0,0
LRP5,1,0
LRPAP1,0,-1
LRPPRC,0,0
DNAAF11,0,-1
LSS,0,0
LYRM7,0,0
LYST,0,0
MAD2L2,0,0
MAFB,0,0
MAGEL2,1,0
MAGT1,3,0
MALT1,0,0
MAN2B1,0,0
MAOA,3,0
MAP2K1,0,0
MAP2K2,1,0
MAP3K1,0,0
MAPKBP1,0,0
MAPT,0,0
MARVELD2,0,0
MASP2,0,-1
MATN3,0,0
MAX,3,0
MBD5,3,0
MC2R,0,-1
MCCC1,0,0
MCEE,0,0
MCFD2,0,0
MCPH1,0,-1
MECP2,3,0
MED12,3,0
MED13L,3,0
MEF2C,3,1
MEFV,0,0
MEG3,1,0
MEIS2,3,0
MEN1,3,0
MEST,0,0
MET,0,0
METTL23,0,0
MFHAS1,0,0
MFN2,0,0
MFRP,0,0
MFSD8,0,0
MGP,0,0
MID1,3,0
MID2,0,0
MITF,3,0
MKKS,0,-1
MKRN3,0,0
MKS1,0,0
MLC1,0,-1
MLH1,3,0
MLPH,0,-1
MLYCD,0,0
MMAA,0,0
MMAB,0,0
MMACHC,0,-1
MMADHC,0,0
MMUT,0,0
MNX1,3,0
MOCS2,0,0
MOV10,0,0
MPDZ,0,0
MPLKIP,0,-1
MRE11,0,0
MSH2,3,0
MSH3,0,0
MSH6,3,0
MSL3,3,0
MSRB3,0,0
MSX1,3,0
MSX2,1,0
MTAP,1,0
MTFMT,0,0
MTHFR,0,-1
MTM1,3,0
MTMR2,0,-1
MTO1,0,0
MTR,0,0
MTRR,0,0
MTTP,0,0
MUTYH,0,0
MYBPC3,3,0
MYCN,3,0
MYH7,0,0
MYH9,1,0
MYH10,1,0
MYH11,0,0
MYL2,0,0
MYL3,0,0
MYLK,3,0
MYO1E,0,0
MYO3A,0,0
MYO5A,0,0
MYO5B,0,0
MYO15A,0,-1
MYSM1,0,0
MYT1L,3,0
NAA10,1,0
NAA15,3,0
NAALADL2,0,0
NAF1,1,0
ASPNAT,0,0
NBAS,0,-1
NBEA,3,0
NBN,0,0
NCF1,0,0
NCF2,0,0
NCF4,0,-1
NCKAP1,3,0
NDE1,0,0
NDN,0,0
NDP,3,0
NDRG1,0,-1
NDUFA1,0,0
NDUFA10,0,0
NDUFAF1,0,0
NDUFAF2,0,0
NDUFAF5,0,0
NDUFB3,0,-1
NDUFS4,0,-1
NDUFS6,0,0
NDUFS7,0,0
NDUFS8,0,0
NDUFV1,0,0
NDUFV2,0,0
NEBL,0,0
NEDD9,1,0
NEFH,0,0
NEFL,0,0
NEK1,0,0
NELFA,0,0
NEXMIF,3,0
NF1,3,0
NF2,3,0
NFIA,3,0
NFIB,3,0
NFIX,3,0
NGLY1,0,0
NHP2,0,0
NHS,3,0
NIPA1,0,0
NIPA2,0,0
NIPBL,3,1
NKX2-5,3,0
NKX3-2,0,-1
NLGN1,0,0
NLGN3,0,0
NLGN4X,1,0
NNAT,0,0
NODAL,1,0
NOG,3,0
NONO,3,0
NOP10,0,0
NOTCH1,3,0
NOTCH2,0,0
NPC1,0,-1
NPHP1,0,0
NPHP4,0,-1
NPHS1,0,0
NPRL3,3,0
NPTX2,0,0
NR2F1,3,0
NR2F2,0,0
NR3C2,3,0
NR4A2,3,0
NR5A1,3,0
NRAS,0,0
NR0B1,3,0
NRG3,0,0
NRXN1,3,0
NSD1,3,0
NSD2,3,0
NSDHL,3,0
NTAN1,0,0
NTHL1,0,0
NUDT13,0,0
NUS1,3,0
NXF5,0,0
NYX,3,0
OAT,0,-1
OBSL1,0,0
OCA2,0,0
OCLN,0,-1
OCRL,3,0
OFD1,3,0
OPHN1,3,0
OR5AU1,0,0
ORC4,0,0
ORC6,0,-1
OSBPL2,1,0
OSBPL5,0,0
OSTM1,0,0
OTC,3,0
OTOA,0,0
OTOF,0,-1
OTOGL,0,0
OTUD7A,0,0
OTX2,3,0
OXCT1,0,-1
P3H1,0,0
PACS1,0,0
PACS2,0,0
PAFAH1B1,3,0
PAH,0,0
PAK2,1,1
PAK3,3,0
PALB2,3,0
PALLD,0,-1
PARK7,0,0
PARN,3,0
PAX1,0,0
PAX2,3,0
PAX3,3,0
PAX5,1,0
PAX6,3,1
PAX8,1,0
PAX9,3,0
PBX1,3,0
PC,0,-1
PCARE,0,0
PCCA,0,0
PCDH9,0,0
PCDH15,0,0
PCDH19,3,0
PCDHGA8,0,0
PCSK9,0,0
PCYT1A,0,0
PDE4D,0,0
PDE6C,0,0
PDE6G,0,0
PDGFRA,0,0
PDHA1,3,0
PDHX,0,-1
PDP1,0,-1
PDSS2,0,-1
PDX1,0,0
PEG3,0,0
PEG10,0,0
PEPD,0,-1
PEX1,0,-1
PEX3,0,0
PEX7,0,-1
PEX11B,0,0
PEX14,0,0
PEX16,0,0
PEX26,0,0
PGAP3,0,-1
PGK1,1,0
PGM1,0,-1
PGM3,0,0
PHC1,0,0
PHEX,3,0
PHF2,1,0
PHF3,1,0
PHF6,3,0
PHF8,3,0
PHF12,3,0
PHF21A,3,0
PHIP,3,0
PHKB,0,0
PHKG2,0,-1
PHLDA2,0,0
PHOX2B,3,0
PHYH,0,-1
PIGA,1,0
PIGN,0,-1
PIGO,0,0
PIGW,0,0
PIK3CA,0,0
PIK3R2,0,0
PINK1,0,-1
PIP5K1C,0,-1
PITPNA,0,0
PITX2,3,0
PITX3,0,0
PKD1,3,0
PKD2,3,0
PKP2,3,0
PLA2G6,0,-1
PLAGL1,0,0
PLCB1,0,0
PLEKHG5,0,0
PLN,1,0
PLOD1,0,-1
PLOD2,0,-1
PLOD3,0,0
PLP1,3,3
PMM2,0,0
PMP22,3,0
PMS2,3,0
PNP,0,0
POGZ,3,0
POLD1,1,0
POLE,1,0
POLH,0,0
POLL,0,0
POLR1D,3,0
POMP,0,0
POMT1,0,0
POMT2,0,-1
POR,0,-1
PORCN,3,0
POT1,1,0
POU3F3,0,-1
POU3F4,3,0
POU4F3,3,0
PPIB,0,0
PPIP5K1,0,0
PPM1D,0,0
PPP1CB,0,0
PPP1R9A,0,0
PPP2R1A,0,0
PPP2R5D,1,0
PPT1,0,0
PQBP1,3,0
PRCD,0,0
PRDM6,0,0
PREPL,0,0
PRF1,0,-1
PRG4,0,0
PRKAG2,0,0
PRKAR1A,3,0
PRKCSH,3,0
PRKD1,0,-1
PRKN,0,0
PRODH,0,0
PROP1,0,0
PRPS1,3,0
PRR12,3,0
PRRT2,3,0
PRSS1,0,0
PSAT1,0,-1
PSD3,0,0
PSORS1C2,0,0
PSPH,0,0
PTCH1,3,0
PTCHD1,3,0
PTEN,3,0
PTH1R,3,0
PTHLH,3,1
PTPN11,3,0
PTPRQ,0,-1
PTS,0,0
PUF60,3,0
PURA,3,0
PXDN,0,0
PYCR1,0,-1
QDPR,0,-1
QRICH1,3,0
RAB3GAP1,0,-1
RAB3GAP2,0,0
RAB27A,0,-1
RAB28,0,-1
RAB39B,3,0
RABL2A,0,0
RAD21,3,0
RAD50,1,0
RAD51B,1,0
RAD51C,3,0
RAD51D,3,0
RAF1,0,0
RAG1,0,-1
RAG2,0,-1
RAI1,3,0
RALGAPB,1,0
RARS2,0,0
RASA1,3,0
RAX,0,-1
RB1,3,0
RB1CC1,1,0
RBBP8,0,-1
RBM20,1,0
RBP3,0,0
RCAN1,0,0
RDX,0,0
RECQL,0,-1
REEP6,0,0
RELN,0,0
RERE,1,-1
RET,3,0
RETREG1,0,0
RFX3,3,0
RFX6,0,0
RHBDF2,0,0
RIMS1,1,0
RIN2,0,-1
RINT1,0,0
RIPK4,0,0
RIT1,0,0
RMND1,0,0
RMRP,0,-1
RNASEH2A,0,-1
RNF32,0,0
RNF43,1,0
RNF135,0,0
RNF168,0,0
ROBO1,0,0
ROBO3,0,0
ROGDI,0,0
ROR2,0,0
RORB,3,0
RP2,3,0
RPE65,0,0
RPGRIP1,0,0
RPH3A,1,0
RPL10,0,0
RPL15,1,0
RPS6KA3,3,0
RPS7,1,0
RPS10,1,0
RPS17,3,0
RPS19,3,0
RPS20,0,0
RPS24,3,0
RPS26,3,0
RS1,3,0
RSPH1,0,-1
RSPH4A,0,-1
RSPO4,0,-1
RTTN,0,-1
RUNX1,3,0
RXFP2,0,0
RYR1,0,0
RYR2,0,0
SACS,0,0
SALL1,1,0
SALL4,3,0
SAMD9,0,-1
SAMHD1,0,0
SATB2,3,0
SBDS,0,0
SBF2,0,-1
SCARB2,0,0
SCARF2,0,0
SCN1A,3,0
SCN1B,0,0
SCN2A,3,0
SCN5A,3,0
SCN8A,1,0
SDCCAG8,0,0
SDHAF1,0,0
SDHAF2,3,0
SDHB,3,0
SDHC,3,0
SDHD,3,0
SDR42E1,0,0
SEC14L4,0,0
SEC23B,0,0
SEM1,0,0
SEMA3A,1,0
SEPSECS,0,-1
SERAC1,0,-1
SERPINA1,0,0
SERPINB6,0,0
SERPINB7,0,0
SERPIND1,0,0
SERPINE1,0,-1
SERPINF1,0,-1
SET,3,0
SETBP1,3,0
SETD1A,3,0
SETD1B,3,0
SETD2,3,0
SETD5,3,0
SF3B4,3,0
SGCE,3,0
SGCG,0,0
SGSH,0,0
SH2B1,1,0
SH2D1A,3,0
SH3TC2,0,-1
SHANK1,1,0
SHANK2,3,0
SHANK3,3,0
SHH,3,0
SHOC2,0,0
SHOX,3,0
SHROOM4,0,0
SI,0,-1
SIGLEC5,0,0
SIL1,0,-1
SIM1,0,0
SIN3A,3,0
SIX1,0,0
SIX3,3,0
SIX4,0,0
SIX6,0,0
SKI,0,0
SLC1A2,1,0
SLC2A1,3,0
SLC2A10,0,0
SLC3A1,0,0
SLC4A3,0,0
SLC4A10,1,0
SLC5A1,0,-1
SLC6A1,3,0
SLC6A3,0,-1
SLC6A4,0,0
SLC6A8,3,0
SLC6A18,0,0
SLC7A7,0,-1
SLC7A9,0,0
SLC9A6,3,0
SLC12A1,0,0
SLC12A3,0,0
SLC13A5,0,0
SLC16A2,3,0
SLC16A12,1,0
SLC17A5,0,0
SLC17A8,1,0
SLC22A14,0,0
SLC67A1,0,0
SLC24A1,0,0
SLC25A1,0,-1
SLC25A12,0,0
SLC25A13,0,-1
SLC25A19,0,0
SLC30A10,0,0
SLC34A1,0,-1
SLC34A2,0,0
SLC35A2,3,0
SLC35C1,0,0
SLC35D1,0,0
SLC37A4,0,0
SLC38A5,0,0
SLC38A8,0,0
SLC52A3,0,-1
SLURP1,0,0
SMAD2,0,0
SMAD3,3,0
SMAD4,3,0
SMARCA2,0,0
SMARCA4,3,0
SMARCB1,3,0
SMARCE1,3,0
SMC1A,3,0
SMC3,1,0
SMOC1,0,0
SMOC2,0,0
SMS,3,0
SNAP29,0,-1
SNORD8,0,0
SNORD9,0,0
SNORD64,0,0
SNORD107,0,0
SNORD108,0,0
SNORD109B,0,0
SNRPN,0,0
SNURF,1,0
